Method,Reflection,Committee,Kappa,n_misses,n_extras,n_finds,n_omits
AI-1_Initial,FALSE,FALSE,0.640787407,27,43,73,955
AI-2_Initial,FALSE,FALSE,0.626958197,28,45,72,953
AI-3_Initial,FALSE,FALSE,0.606343078,29,49,71,949
AI-Initial-Committee,FALSE,TRUE,0.621947559,24,54,76,944
AI-1_Reflection,TRUE,FALSE,0.624628037,31,40,69,958
AI-2_Reflection,TRUE,FALSE,0.626958197,28,45,72,953
AI-3_Reflection,TRUE,FALSE,0.639599555,25,47,75,951
AI-Reflection-Committee,TRUE,TRUE,0.632640771,18,62,82,936
AI-AnyYes,TRUE,TRUE,0.627850039,14,71,86,927
